,title,country,clean_description,listed_in_clean,cast_clean,combined
0,dick johnson is dead,United States,father end life death inventive comical way help face inevitable,documentaries,nan,father end life death inventive comical way help face inevitable documentaries nan
1,blood & water,South Africa,crossing party cape town teen prove whether swimming star sister birth,international shows dramas mysteries,ama qamata khosi ngema gail mabalane thabang molaba dillon windvogel natasha thahane arno greeff xolile tshabalala getmore sithole cindy mahlangu ryle de morny greteli fincham sello maake ka-ncube odwa gwanya mekaila mathys sandi schultz duane williams shamilla miller patrick mofokeng,crossing party cape town teen prove whether swimming star sister birth international shows dramas mysteries ama qamata khosi ngema gail mabalane thabang molaba dillon windvogel natasha thahane arno greeff xolile tshabalala getmore sithole cindy mahlangu ryle de morny greteli fincham sello maake ka-ncube odwa gwanya mekaila mathys sandi schultz duane williams shamilla miller patrick mofokeng
2,ganglands,,protect family powerful drug lord skilled thief expert team violent deadly turf war,crime shows international shows action adventure,sami bouajila tracy gotoas samuel jouy nabiha akkari sofia lesaffre salim kechiouche noureddine farihi geert van rampelberg bakary diombera,protect family powerful drug lord skilled thief expert team violent deadly turf war crime shows international shows action adventure sami bouajila tracy gotoas samuel jouy nabiha akkari sofia lesaffre salim kechiouche noureddine farihi geert van rampelberg bakary diombera
3,jailbirds new orleans,,toilet talk go among justice center new gritty reality series,docuseries reality,nan,toilet talk go among justice center new gritty reality series docuseries reality nan
4,kota factory,India,city coaching known train collegiate earnest unexceptional student navigate campus life,international shows romantic shows comedies,mayur more jitendra kumar ranjan raj alam khan ahsaas channa revathi pillai urvi singh arun kumar,city coaching known train collegiate earnest unexceptional student navigate campus life international shows romantic shows comedies mayur more jitendra kumar ranjan raj alam khan ahsaas channa revathi pillai urvi singh arun kumar
5,midnight mass,,arrival charismatic young priest glorious ominous religious fervor dying town desperate believe,dramas horror mysteries,kate siegel zach gilford hamish linklater henry thomas kristin lehman samantha sloyan igby rigney rahul kohli annarah cymone annabeth gish alex essoe rahul abburi matt biedel michael trucco crystal balint louis oliver,arrival charismatic young priest glorious ominous religious fervor dying town desperate believe dramas horror mysteries kate siegel zach gilford hamish linklater henry thomas kristin lehman samantha sloyan igby rigney rahul kohli annarah cymone annabeth gish alex essoe rahul abburi matt biedel michael trucco crystal balint louis oliver
6,my little pony: a new generation,,divided hero earth hoof heart determined prove,children family movies,vanessa hudgens kimiko glenn james marsden sofia carson liza koshy ken jeong elizabeth perkins jane krakowski michael mckean phil lamarr,divided hero earth hoof heart determined prove children family movies vanessa hudgens kimiko glenn james marsden sofia carson liza koshy ken jeong elizabeth perkins jane krakowski michael mckean phil lamarr
7,sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",photo shoot model back time becomes plantation witness agony ancestral past,dramas independent movies international movies,kofi ghanaba oyafunmike ogunlano alexandra duah nick medley mutabaruka afemo omilami reggie carter mzuri,photo shoot model back time becomes plantation witness agony ancestral past dramas independent movies international movies kofi ghanaba oyafunmike ogunlano alexandra duah nick medley mutabaruka afemo omilami reggie carter mzuri
8,the great british baking show,United Kingdom,talented batch amateur face competition whipping best best,british shows reality,mel giedroyc sue perkins mary berry paul hollywood,talented batch amateur face competition whipping best best british shows reality mel giedroyc sue perkins mary berry paul hollywood
9,the starling,United States,woman life loss feisty bird taken garden husband struggling find way forward,comedies dramas,melissa mccarthy chris o'dowd kevin kline timothy olyphant daveed diggs skyler gisondo laura harrier rosalind chao kimberly quinn loretta devine ravi kapoor,woman life loss feisty bird taken garden husband struggling find way forward comedies dramas melissa mccarthy chris o'dowd kevin kline timothy olyphant daveed diggs skyler gisondo laura harrier rosalind chao kimberly quinn loretta devine ravi kapoor
10,"vendetta: truth, lies and the mafia",,bold coalition trying bring organized crime accused,crime shows docuseries international shows,nan,bold coalition trying bring organized crime accused crime shows docuseries international shows nan
11,bangkok breaking,,struggling earn living bangkok man emergency rescue service must unravel conspiracy,crime shows international shows action adventure,sukollawat kanarot sushar manaying pavarit mongkolpisit sahajak boonthanakit suthipongse thatphithakkul bhasaworn bawronkirati daweerit chullasapya waratthaya wongchayaporn kittiphoom wongpentak abhicha thanachanun nophand boonyai kittipong khamsat arisara wongchalee jaytiya naiwattanakul pantipa arunwattanachai panupan jantanawong kungtap saelim phumphat chartsuriyakiat issara veranitinunt keerati sivakuae panjai sirisuwan supranee charoenpol suda chuenban visaka banhansupavat pitchatorn santinatornkul,struggling earn living bangkok man emergency rescue service must unravel conspiracy crime shows international shows action adventure sukollawat kanarot sushar manaying pavarit mongkolpisit sahajak boonthanakit suthipongse thatphithakkul bhasaworn bawronkirati daweerit chullasapya waratthaya wongchayaporn kittiphoom wongpentak abhicha thanachanun nophand boonyai kittipong khamsat arisara wongchalee jaytiya naiwattanakul pantipa arunwattanachai panupan jantanawong kungtap saelim phumphat chartsuriyakiat issara veranitinunt keerati sivakuae panjai sirisuwan supranee charoenpol suda chuenban visaka banhansupavat pitchatorn santinatornkul
12,je suis karl,"Germany, Czech Republic",family terrorist young woman unknowingly joining group,dramas international movies,luna wedler jannis niewöhner milan peschel edin hasanović anna fialová marlon boess victor boccard fleur geffrier aziz dyab mélanie fouché elizaveta maximová,family terrorist young woman unknowingly joining group dramas international movies luna wedler jannis niewöhner milan peschel edin hasanović anna fialová marlon boess victor boccard fleur geffrier aziz dyab mélanie fouché elizaveta maximová
13,confessions of an invisible girl,,clever new school anything fit queen bee among,children family movies comedies,klara castanho lucca picon júlia gomes marcus bessa kiria malheiros fernanda concon gabriel lima caio cabral leonardo cidade jade cardozo,clever new school anything fit queen bee among children family movies comedies klara castanho lucca picon júlia gomes marcus bessa kiria malheiros fernanda concon gabriel lima caio cabral leonardo cidade jade cardozo
14,crime stories: india detectives,,following police job offer rare glimpse complex inner four major crime,british shows crime shows docuseries,nan,following police job offer rare glimpse complex inner four major crime british shows crime shows docuseries nan
15,dear white people,United States,color navigate daily slippery politics life ivy league college nearly,comedies dramas,logan browning brandon p. bell deron horton antoinette robertson john patrick amedori ashley blaine featherson marque richardson giancarlo esposito,color navigate daily slippery politics life ivy league college nearly comedies dramas logan browning brandon p. bell deron horton antoinette robertson john patrick amedori ashley blaine featherson marque richardson giancarlo esposito
16,europe's most dangerous man: otto skorzeny in spain,,reveal life otto close ally adviser world,documentaries international movies,nan,reveal life otto close ally adviser world documentaries international movies nan
17,falsa identidad,Mexico,flee home pretend married couple escape abusive husband,crime shows spanish-language shows dramas,luis ernesto franco camila sodi sergio goyri samadhi zendejas eduardo yáñez sonya smith alejandro camacho azela robinson uriel del toro géraldine bazán gabriela roel marcus ornellas,flee home pretend married couple escape abusive husband crime shows spanish-language shows dramas luis ernesto franco camila sodi sergio goyri samadhi zendejas eduardo yáñez sonya smith alejandro camacho azela robinson uriel del toro géraldine bazán gabriela roel marcus ornellas
